U+00F0	ð	LATIN SMALL LETTER ETH
U+00FE	þ	LATIN SMALL LETTER THORN
U+0109	ĉ	LATIN SMALL LETTER C WITH CIRCUMFLEX
U+010B	ċ	LATIN SMALL LETTER C WITH DOT ABOVE
U+0115	ĕ	LATIN SMALL LETTER E WITH BREVE
U+011D	ĝ	LATIN SMALL LETTER G WITH CIRCUMFLEX
U+0121	ġ	LATIN SMALL LETTER G WITH DOT ABOVE
U+0125	ĥ	LATIN SMALL LETTER H WITH CIRCUMFLEX
U+0127	ħ	LATIN SMALL LETTER H WITH STROKE
U+012D	ĭ	LATIN SMALL LETTER I WITH BREVE
U+0135	ĵ	LATIN SMALL LETTER J WITH CIRCUMFLEX
U+013A	ĺ	LATIN SMALL LETTER L WITH ACUTE
U+014B	ŋ	LATIN SMALL LETTER ENG
U+014F	ŏ	LATIN SMALL LETTER O WITH BREVE
U+0155	ŕ	LATIN SMALL LETTER R WITH ACUTE
U+015D	ŝ	LATIN SMALL LETTER S WITH CIRCUMFLEX
U+0163	ţ	LATIN SMALL LETTER T WITH CEDILLA
U+0167	ŧ	LATIN SMALL LETTER T WITH STROKE
U+016D	ŭ	LATIN SMALL LETTER U WITH BREVE
U+0175	ŵ	LATIN SMALL LETTER W WITH CIRCUMFLEX
U+0177	ŷ	LATIN SMALL LETTER Y WITH CIRCUMFLEX
U+0180	ƀ	LATIN SMALL LETTER B WITH STROKE
U+0183	ƃ	LATIN SMALL LETTER B WITH TOPBAR
U+018C	ƌ	LATIN SMALL LETTER D WITH TOPBAR
U+0192	ƒ	LATIN SMALL LETTER F WITH HOOK
U+0199	ƙ	LATIN SMALL LETTER K WITH HOOK
U+019A	ƚ	LATIN SMALL LETTER L WITH BAR
U+019E	ƞ	LATIN SMALL LETTER N WITH LONG RIGHT LEG
U+01A5	ƥ	LATIN SMALL LETTER P WITH HOOK
U+01AD	ƭ	LATIN SMALL LETTER T WITH HOOK
U+01B4	ƴ	LATIN SMALL LETTER Y WITH HOOK
U+01B6	ƶ	LATIN SMALL LETTER Z WITH STROKE
U+01B9	ƹ	LATIN SMALL LETTER EZH REVERSED
U+01C0	ǀ	LATIN LETTER DENTAL CLICK
U+01C1	ǁ	LATIN LETTER LATERAL CLICK
U+01C2	ǂ	LATIN LETTER ALVEOLAR CLICK
U+01C3	ǃ	LATIN LETTER RETROFLEX CLICK
U+01CE	ǎ	LATIN SMALL LETTER A WITH CARON
